"기관 명","송신 서버 번호","데이터 번호","모델명","주행상태","시동ON 시각","시동OFF 시각","운행시간","등록일시"
"서울시설공단","20","1","B03","8","102022-02-16_07:15:","782022-02-16_13:52:","240003","2022-02-16 13:53:00.0"
"서울시설공단","20","1","B03","5","302022-02-16_13:38:","262022-02-16_13:50:","710000","2022-02-16 13:51:00.0"
"서울시설공단","20","1","B03","7","302022-02-16_06:27:","632022-02-16_13:47:","000004","2022-02-16 13:48:00.0"
"서울시설공단","20","1","B03","2","302022-02-16_12:34:","992022-02-16_13:42:","130000","2022-02-16 13:44:00.0"
"서울시설공단","20","1","B03","0","702022-02-16_11:52:","902022-02-16_13:37:","250001","2022-02-16 13:39:00.0"
"서울시설공단","20","1","B03","8","602022-02-16_13:28:","112022-02-16_13:33:","930000","2022-02-16 13:34:00.0"
"서울시설공단","20","1","B03","6","302022-02-16_13:02:","042022-02-16_13:27:","800000","2022-02-16 13:28:00.0"
"서울시설공단","20","1","B03","3","502022-02-16_06:35:","742022-02-16_13:14:","290003","2022-02-16 13:15:00.0"
"서울시설공단","20","1","B03","5","602022-02-16_12:32:","002022-02-16_12:58:","440000","2022-02-16 13:00:00.0"
"서울시설공단","20","1","B03","3","902022-02-16_11:53:","962022-02-16_12:31:","040000","2022-02-16 12:33:00.0"
"서울시설공단","20","1","B03","9","102022-02-16_06:55:","262022-02-16_12:25:","430003","2022-02-16 12:27:00.0"
"서울시설공단","20","1","B03","9","702022-02-16_11:10:","402022-02-16_11:11:","320000","2022-02-16 12:15:00.0"
"서울시설공단","20","1","B03","9","502022-02-15_15:48:","402022-02-15_15:58:","080000","2022-02-16 12:14:00.0"
"서울시설공단","20","1","B03","8","002022-02-15_06:53:","482022-02-15_15:43:","310005","2022-02-16 12:14:00.0"
"서울시설공단","20","1","B03","5","602022-02-16_11:07:","262022-02-16_11:13:","220000","2022-02-16 12:13:00.0"
"서울시설공단","20","1","B03","0","402022-02-15_06:36:","922022-02-15_16:50:","880006","2022-02-16 12:12:00.0"
"서울시설공단","20","1","B03","0","202022-02-16_11:43:","432022-02-16_11:53:","450000","2022-02-16 12:10:00.0"
"서울시설공단","20","1","B03","1","202022-02-16_06:56:","332022-02-16_11:59:","140003","2022-02-16 12:00:00.0"
"서울시설공단","20","1","B03","6","202022-02-16_09:09:","482022-02-16_11:51:","090001","2022-02-16 11:53:00.0"
"서울시설공단","20","1","B03","5","502022-02-11_19:14:","012022-02-11_20:57:","420001","2022-02-16 11:47:00.0"
"서울시설공단","20","1","B03","9","202022-02-16_11:27:","412022-02-16_11:40:","630000","2022-02-16 11:41:00.0"
"서울시설공단","20","1","B03","9","702022-02-16_11:37:","152022-02-16_11:39:","910000","2022-02-16 11:41:00.0"
"서울시설공단","20","1","B03","0","402022-02-14_19:40:","152022-02-14_19:46:","350000","2022-02-16 11:40:00.0"
"서울시설공단","20","1","B03","7","102022-02-15_17:51:","132022-02-15_20:00:","180001","2022-02-16 11:37:00.0"
"서울시설공단","20","1","B03","7","402022-02-16_11:14:","432022-02-16_11:18:","890000","2022-02-16 11:20:00.0"
"서울시설공단","20","1","B03","6","502022-02-15_19:01:","832022-02-15_19:04:","900000","2022-02-16 10:06:00.0"
"서울시설공단","20","1","B03","2","802022-02-16_06:40:","222022-02-16_09:01:","760001","2022-02-16 09:03:00.0"
"서울시설공단","20","1","B03","2","602022-02-15_15:50:","432022-02-15_15:58:","050000","2022-02-16 07:44:00.0"
"서울시설공단","20","1","B03","7","302022-02-15_07:00:","472022-02-15_14:23:","850004","2022-02-16 07:43:00.0"
"서울시설공단","20","1","B03","3","102022-02-15_13:02:","752022-02-15_15:58:","950001","2022-02-16 07:01:00.0"
"서울시설공단","20","1","B03","7","002022-02-15_14:54:","162022-02-15_15:56:","870000","2022-02-16 07:01:00.0"
"서울시설공단","20","1","B03","8","102022-02-15_16:55:","202022-02-15_21:52:","970002","2022-02-16 06:58:00.0"
